owner,city,category,title,description,location,price_day,deposit_type,deposit_amount,quantity,handover,status,photos
polina,yablonovskiy,Детские товары / Коляски,Прогулочная коляска с большими колёсами,"Колёса надувные, бордюры и плитку проходит без тряски. Капюшон большой, от солнца закрывает полностью. Чехол постирала, всё чистое.",ЖК Мега,500,money,4000,1,pickup,active,stroller-2-1.webp;stroller-2-2.webp
kseniya,yablonovskiy,Детские товары / Автокресла,Бустер 22–36 кг,"Ребёнок вырос, лежит без дела. Занимает мало места, в багажник кидается и не мешает.",ул. Дорожная,200,document,,1,pickup,active,booster-1.webp;booster-2.webp
kseniya,yablonovskiy,Детские товары / Игрушки,Беговел на 2–4 года,"Сын откатал два сезона и пересел на велосипед. Сиденье и руль регулируются, шлем отдам вместе с ним.",ул. Дорожная,250,document,,1,pickup,active,balance-bike-1.webp
aslan,yablonovskiy,Спорт / Водный спорт,Сапборд надувной 10'8″ с веслом,"Универсальная доска: держит взрослого до ста килограммов, можно катать ребёнка вторым. Насос, весло, лиш и рюкзак в комплекте — всё влезает в багажник. До воды от меня пять минут пешком, можно взять и сразу идти.",ул. Связи,800,money,4000,4,pickup,active,sup-1.webp;sup-2.webp
aslan,yablonovskiy,Спорт / Водный спорт,Сапборд двухместный 15 футов,"Для двоих взрослых или родителя с двумя детьми. Устойчивый настолько, что на нём можно стоять вдвоём и не бояться. Тяжелее обычного, нести до воды лучше вдвоём.",ул. Связи,1400,money,6000,1,pickup,active,sup-double-1.webp;sup-double-2.webp
aslan,yablonovskiy,Спорт / Водный спорт,"Гидрокостюм 3 мм, размеры S–XL","Для холодной воды весной и осенью, в море и на реке. Есть четыре размера, скажите рост и вес — подберу. После проката промываю пресной водой и сушу.",ул. Связи,300,document,,6,pickup,active,wetsuit-1.webp
aslan,yablonovskiy,Транспорт / Водный транспорт,Каяк надувной двухместный,"Для сплава по Кубани и прогулок по водохранилищу. Два весла, насос и ремкомплект. Накачивается за пятнадцать минут, в собранном виде помещается в две сумки.",ул. Связи,1200,money,7000,2,pickup,active,kayak-1.webp;kayak-2.webp
karen,krasnodar,Инструменты / Строительное оборудование,Бетономешалка 130 л,"Хватает на стяжку в комнате или на фундамент под забор. В легковушку не влезет — привожу сам, по Краснодару 1000, за город договоримся.",Комсомольский,700,money,5000,1,pickup;delivery,active,mixer-1.webp
karen,krasnodar,Инструменты / Строительное оборудование,Генератор бензиновый 3 кВт,"Держит холодильник, свет, насос и болгарку одновременно. Расход около литра в час, бак на 15 литров. Отдаю с пустым баком и прошу вернуть пустым — так честнее для обоих.",Комсомольский,1200,money,7000,2,pickup;delivery,active,generator-1.webp
karen,krasnodar,Инструменты / Строительное оборудование,"Вышка-тура, рабочая высота 4 м","Для потолков, фасада, обрезки деревьев. Собирается вдвоём минут за пятнадцать. Колёса с тормозами. Вожу сам — в разобранном виде занимает полприцепа.",Комсомольский,800,money,6000,1,pickup;delivery,active,tower-1.webp
olga,krasnodar,Дом и мероприятия / Шатры и тенты,Шатёр 3×3 м со стенками,"Ставим на день рождения во дворе, на дачу, на выездную регистрацию. Каркас стальной, четыре стенки в комплекте — две глухие, одна с окном, одна со входом. Вдвоём собирается минут за двадцать, показываю при выдаче.",ЮМР,1000,money,5000,2,pickup;delivery,active,marquee-1.webp
olga,krasnodar,Дом и мероприятия / Грили и барбекю,Мангал разборный с шампурами,"Сталь три миллиметра, не ведёт от жара. Десять шампуров и кочерга в комплекте. Разбирается в плоский чемодан, помещается в багажник. Уголь и розжиг ваши.",ЮМР,400,money,1500,3,pickup,active,grill-charcoal-1.webp
olga,krasnodar,Дом и мероприятия / Грили и барбекю,Казан 12 л с печью и шумовкой,"На плов для двадцати человек. Печь под дрова, тяга хорошая. Казан чугунный, тяжёлый, вдвоём нести удобнее. Отдаю прокалённым, прошу вернуть без ржавчины: помыли, вытерли, смазали маслом.",ЮМР,700,money,3000,1,pickup;delivery,active,kazan-1.webp
olga,krasnodar,Дом и мероприятия / Декор,"Гирлянда ретро, 20 м с лампами","Крупные лампы накаливания на чёрном проводе — та самая, «как в кафе». Двадцать метров хватает на двор шесть на восемь с провисами. Уличная, дождя не боится. Три запасные лампы в коробке.",ЮМР,300,money,2000,4,pickup,active,garland-1.webp
svetlana,krasnodar,Дом и мероприятия / Уборочная техника,Моющий пылесос Karcher SE 4001,"Диваны, ковролин, матрасы, салон машины. После ремонта или переезда вытаскивает такое, о чём лучше не знать. Насадки для мебели и для пола в комплекте, шампунь свой — продаётся в любом хозяйственном. Самая ходовая вещь, на выходные бронируйте заранее.",Фестивальный,800,money,4000,2,pickup,active,wet-vacuum-1.webp;wet-vacuum-2.webp
svetlana,krasnodar,Дом и мероприятия / Уборочная техника,Пароочиститель Karcher SC 3,"Плитка, швы, духовка, окна — без единой капли химии. Нагревается за полминуты. Хорош, если дома дети или аллергия.",Фестивальный,600,money,3000,2,pickup,active,steam-cleaner-1.webp;steam-cleaner-2.webp
alexey,krasnodar,Туризм и отдых / Палатки,Палатка четырёхместная Naturehike с тамбуром,"Реально спят четверо взрослых, если без огромных рюкзаков внутри. Тамбур большой, ботинки и рюкзаки убираются с запасом. Проверена на Пшаде в дождь — не течёт, дуги целые. Ставится вдвоём минут за десять.",Гидростроителей,700,money,3000,2,pickup,active,tent-4-1.webp
alexey,krasnodar,Туризм и отдых / Палатки,"Палатка двухместная лёгкая, 2,2 кг","Для тех, кто идёт пешком и считает каждый грамм. Двухслойная, юбки нет, в сильный ветер на открытом месте будет неуютно. Колышки титановые, не гнутся о камни.",Гидростроителей,450,money,2000,3,pickup,active,tent-2-1.webp
alexey,krasnodar,Туризм и отдых / Спальники,"Спальник-кокон, комфорт +5 °C","Для лета в горах и весны-осени на равнине. В ноль будет прохладно, честно предупреждаю — берите термобельё. Стираю после каждого проката, выдаю в компрессионном мешке.",Гидростроителей,250,document,,6,pickup,active,sleeping-bag-1.webp
alexey,krasnodar,Туризм и отдых / Рюкзаки,Рюкзак туристический 70 л с подвеской,"На поход от трёх дней. Подвеска регулируется по спине, вес ложится на пояс, а не на плечи — подгоню под вас при выдаче, это пять минут и половина удовольствия от похода. Дождевик в кармане на дне.",Гидростроителей,300,document,,4,pickup,active,backpack-1.webp
alexey,krasnodar,Туризм и отдых / Кемпинг-оборудование,Горелка газовая с ветрозащитой,"Литр воды закипает минуты за четыре даже на ветру. Баллоны свои — резьбовые, продаются в любом «Спортмастере». Пьезоподжиг иногда капризничает, спички кладу в комплект.",Гидростроителей,200,document,,4,pickup,active,camp-stove-1.webp
alexey,krasnodar,Туризм и отдых / Кемпинг-оборудование,"Автохолодильник 25 л, 12 В","От прикуривателя держит холод в дороге, дома можно включить через адаптер в розетку. На выезд с ночёвкой и на рыбалку — вещь. Провод три метра, до багажника хватает.",Гидростроителей,400,money,3000,2,pickup,active,cooler-1.webp
maksim,krasnodar,Туризм и отдых / Спальники,"Коврик самонадувающийся, 5 см","После пенки — небо и земля, спина утром не болит. Надувается сам минут за десять. Ремкомплект в чехле.",Славянский,200,document,,2,pickup,active,mat-1.webp
dmitriy,krasnodar,Фото и видео / Штативы и стабилизаторы,Стабилизатор DJI RS 3 Mini,"Для видео с беззеркалки: картинка перестаёт трястись на ходу. Балансируется минут за пять, покажу как. Держит до 2 кг — с 24-70 работает, с большим телевиком уже нет.",Центр,900,money,12000,1,pickup,active,gimbal-1.webp
vadim,krasnodar,Фото и видео / Экшн-камеры,GoPro Hero 12 с креплениями,"Набор креплений: на грудь, на шлем, на руль, присоска в машину. Две батареи и поплавок для воды. Брал на сплав, теперь лежит.",Пашковский,700,money,8000,1,pickup,active,action-cam-1.webp
vadim,krasnodar,Электроника / Аксессуары,Колонка JBL PartyBox 310,Двор и небольшой зал озвучивает с запасом. От аккумулятора играет часов шесть на средней громкости. Микрофон проводной в комплекте.,Пашковский,1200,money,8000,1,pickup,active,speaker-1.webp
artur,krasnodar,Развлечения / Игровые приставки,PlayStation 5 с двумя джойстиками,"Отдаю на выходные и на праздники. Два геймпада, провода все на месте. Дисков нет, но на аккаунте стоят FIFA, Mortal Kombat и пара гонок — для компании самое то.",Славянский,900,money,15000,1,pickup,active,console-1.webp
artur,krasnodar,Развлечения / VR,Шлем VR Meta Quest 3,"Автономный, компьютер не нужен. Заряда хватает часа на два активной игры. Насадку на лицо протираю после каждого проката, есть сменные. Для комнаты нужно свободных два на два метра.",Славянский,1000,money,20000,1,pickup,active,vr-1.webp
inna,krasnodar,Транспорт / Прицепы,Прицеп легковой с тентом,"Кузов два на метр двадцать, тент высокий. Возят мебель при переезде, стройматериалы, мотоцикл. Нужна категория B и фаркоп. Документы отдаю с прицепом, страховка своя.",Западный обход,1200,money,10000,1,pickup,active,trailer-1.webp
